ID,password,role
T001,pass123t01,Technical_Officer
T002,pass123to2,Technical_Officer
T003,pass123to3,Technical_Officer
T004,pass123to4,Technical_Officer
L001,pass123lt01,Lecturer
L002,pass123lt02,Lecturer
L003,pass123lt03,Lecturer
I001,pass123ins01,Instructor
I002,pass123ins02,Instructor
I003,pass123ins03,Instructor
I004,pass12304,Instructor
I005,pass123ins05,Instructor
I006,pass123ins06,Instructor
I007,pass123ins07,Instructor
I008,pass123ins08,Instructor
I009,pass123ins09,Instructor
I010,pass123ins10,Instructor
S001,pass126,student
S002,pass127,student
S003,pass128,student
S004,pass129,student
S005,pass130,student
S006,pass131,student
S007,pass132,student
S008,pass133,student
S009,pass134,student
S010,pass135,student
S011,pass136,student
S012,pass137,student
S013,pass138,student
S014,pass139,student
S015,pass140,student
S016,pass141,student
S017,pass142,student
S018,pass143,student
S019,pass144,student
S020,pass145,student
S021,pass146,student
S022,pass147,student
S023,pass148,student
S024,pass149,student
S025,pass150,student
S026,pass151,student
S027,pass152,student
S028,pass153,student
S029,pass154,student
S030,pass155,student
S031,pass156,student
S032,pass157,student
S033,pass158,student
S034,pass159,student
S035,pass160,student
S036,pass161,student
S037,pass162,student
S038,pass163,student
S039,pass164,student
S040,pass165,student
S041,pass166,student
S042,pass167,student
S043,pass168,student
S044,pass169,student
S045,pass170,student
S046,pass171,student
S047,pass172,student
S048,pass173,student
S049,pass174,student
S050,pass175,student
san099,San@12,student
